"STATION","NAME","DATE","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-04-28","0.00",,"0.0","0.0",,"47","33",,,,,,,,,,,,,,,,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-04-29","0.00",,"0.0","0.0",,"51","36",,,,,,,,,"    1",,,,,,,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-04-30","0.00",,"0.0","0.0",,"51","37",,"    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-05-01","0.00",,"0.0","0.0",,"53","35",,"    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-05-02","0.00",,"0.0","0.0",,"57","30",,,,,,,,,,,,,,,,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-05-03","0.00",,"0.0","0.0",,"73","37",,,,,,,,,"    1",,,,,,,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-05-04","0.00",,"0.0","0.0",,"78","50",,,,,,,,,"    1",,,,,,,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-05-05","0.00",,"0.0","0.0",,"83","48",,"    1",,,,,,,"    1",,,,,,,"    1",,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-05-06","0.00",,"0.0","0.0",,"70","50",,,,,,,,,,,,,,,,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-05-07","0.00",,"0.0","0.0",,"55","39",,,,,,,,,,,,,,,,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-05-08","0.00",,"0.0","0.0",,"58","31",,,,,,,,,,,,,,,,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-05-09","0.14",,"0.0","0.0",,"70","45",,"    1",,"    1",,,,,"    1",,,,,,,"    1",,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-05-10","0.00",,"0.0","0.0",,"61","43",,,,,,,,,,,,,,,,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-05-11","0.00",,"0.0","0.0",,"62","37",,,,,,,,,,,,,,,,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-05-12","0.00",,"0.0","0.0",,"74","43",,,,,,,,,,,,,,,,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-05-13","0.00",,"0.0","0.0",,"70","51",,,,,,,,,,,,,,,,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-05-14","0.00",,"0.0","0.0",,"78","46",,,,,,,,,,,,,,,,"    1",,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-05-15","0.00",,"0.0","0.0",,"72","49",,,,,,,,,,,,,,,,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-05-16","0.01",,"0.0","0.0",,"67","41",,,,,,,,,,,,,,,,"    1",,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-05-17","0.00",,"0.0","0.0",,"68","43",,,,,,,,,,,,,,,,"    1",,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-05-18","0.00",,"0.0","0.0",,"62","41",,,,,,,,,,,,,,,,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-05-19","0.00",,"0.0","0.0",,"71","39",,,,,,,,,,,,,,,,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-05-20","0.00",,"0.0","0.0",,"70","43",,,,,,,,,"    1",,,,,,,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-05-21","0.00",,"0.0","0.0",,"77","49",,,,,,,,,,,,,,,,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-05-22","0.05",,"0.0","0.0",,"72","53",,"    1",,,,,,,"    1",,,,,,,"    1",,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-05-23","0.00",,"0.0","0.0",,"79","50",,"    1",,,,,,,"    1",,,,,,,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-05-24","0.14",,"0.0","0.0",,"83","57",,,,"    1",,"    1",,,"    1",,,,,,,"    1",,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-05-25","1.19",,"0.0","0.0",,"86","63",,"    1",,"    1",,,,,,,,,,,,"    1",,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-05-26","0.00",,"0.0","0.0",,"63","53",,"    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-05-27","0.00",,"0.0","0.0",,"67","46",,,,,,,,,,,,,,,,"    1",,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-05-28","0.00",,"0.0","0.0",,"71","44",,,,,,,,,,,,,,,,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-05-29","0.00",,"0.0","0.0",,"75","48",,,,,,,,,,,,,,,,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-05-30","0.43",,"0.0","0.0",,"80","54",,,,"    1",,,,,"    1",,,,,,,"    1",,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-05-31","0.00",,"0.0","0.0",,"72","55",,,,,,,,,"    1",,,,,,,"    1",,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-06-01","0.00",,"0.0","0.0",,"74","50",,,,,,,,,,,,,,,,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-06-02","2.30",,"0.0","0.0",,"72","56",,,,"    1",,"    1",,,,,,,,,,"    1",,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-06-03","0.19",,"0.0","0.0",,"63","47",,,,,,,,,,,,,,,,"    1",,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-06-04","0.00",,"0.0","0.0",,"69","41",,,,,,,,,,,,,,,,"    1",,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-06-05","0.00",,"0.0","0.0",,"77","56",,,,,,,,,,,,,,,,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-06-06","0.00",,"0.0","0.0",,"81","60",,,,,,,,,,,,,,,,,,,,,,
