treatment,replicate,step,creature_x,creature_y,score
play_greedily,6,0,4,4,1000
play_greedily,6,1,4,4,965
play_greedily,6,2,5,4,1055
play_greedily,6,3,5,4,1050
play_greedily,6,4,5,5,1040
play_greedily,6,5,5,5,1035
play_greedily,6,6,4,5,1075
play_greedily,6,7,3,5,1065
play_greedily,6,8,3,5,1060
play_greedily,6,9,3,4,1100
play_greedily,6,10,3,3,1090
play_greedily,6,11,3,3,1085
play_greedily,6,12,4,3,1125
play_greedily,6,13,4,3,1120
play_greedily,6,14,4,4,1110
play_greedily,6,15,4,5,1100
play_greedily,6,16,4,6,1090
play_greedily,6,17,4,7,1080
play_greedily,6,18,4,8,1170
play_greedily,6,19,4,8,1165
play_greedily,6,20,4,8,1160
play_greedily,6,21,4,7,1150
play_greedily,6,22,4,7,1145
play_greedily,6,23,3,7,1235
play_greedily,6,24,2,7,1275
play_greedily,6,25,1,7,1265
play_greedily,6,26,0,7,1305
play_greedily,6,27,0,7,1300
play_greedily,6,28,0,8,1390
play_greedily,6,29,0,8,1385
play_greedily,6,30,1,8,1425
play_greedily,6,31,1,8,1420
play_greedily,6,32,1,7,1410
play_greedily,6,33,1,7,1405
play_greedily,6,34,2,7,1395
play_greedily,6,35,3,7,1385
play_greedily,6,36,4,7,1375
play_greedily,6,37,4,7,1370
play_greedily,6,38,4,6,1360
play_greedily,6,39,4,5,1350
play_greedily,6,40,4,4,1340
play_greedily,6,41,4,3,1330
play_greedily,6,42,4,3,1325
play_greedily,6,43,4,3,1320
play_greedily,6,44,4,4,1310
play_greedily,6,45,4,5,1300
play_greedily,6,46,4,6,1290
play_greedily,6,47,4,7,1280
play_greedily,6,48,4,8,1270
play_greedily,6,49,4,8,1265
play_greedily,6,50,4,8,1260
play_greedily,6,51,4,7,1250
play_greedily,6,52,4,6,1240
play_greedily,6,53,4,5,1230
play_greedily,6,54,4,4,1220
play_greedily,6,55,4,3,1210
play_greedily,6,56,4,3,1205
play_greedily,6,57,4,3,1200
play_greedily,6,58,4,4,1190
play_greedily,6,59,4,5,1180
play_greedily,6,60,4,6,1170
play_greedily,6,61,4,7,1160
play_greedily,6,62,4,8,1150
play_greedily,6,63,4,8,1145
play_greedily,6,64,4,8,1140
play_greedily,6,65,4,7,1130
play_greedily,6,66,4,6,1120
play_greedily,6,67,4,5,1110
play_greedily,6,68,4,4,1100
play_greedily,6,69,4,3,1090
play_greedily,6,70,4,3,1085
play_greedily,6,71,4,3,1080
play_greedily,6,72,4,4,1070
play_greedily,6,73,4,5,1060
play_greedily,6,74,4,6,1050
play_greedily,6,75,4,7,1040
play_greedily,6,76,4,8,1030
play_greedily,6,77,4,8,1025
play_greedily,6,78,4,8,1020
play_greedily,6,79,4,7,1010
play_greedily,6,80,4,6,1000
play_greedily,6,81,4,5,990
play_greedily,6,82,4,4,980
play_greedily,6,83,4,3,970
play_greedily,6,84,4,3,965
play_greedily,6,85,4,3,960
play_greedily,6,86,4,4,950
play_greedily,6,87,4,5,940
play_greedily,6,88,4,6,930
play_greedily,6,89,4,7,920
play_greedily,6,90,4,8,910
play_greedily,6,91,4,8,905
play_greedily,6,92,4,8,900
play_greedily,6,93,4,7,890
play_greedily,6,94,4,6,880
play_greedily,6,95,4,5,870
play_greedily,6,96,4,4,860
play_greedily,6,97,4,3,850
play_greedily,6,98,4,3,845
play_greedily,6,99,4,3,840
play_greedily,6,100,4,4,830
play_greedily,7,0,4,4,1000
play_greedily,7,1,4,3,1090
play_greedily,7,2,4,2,1180
play_greedily,7,3,4,1,1270
play_greedily,7,4,4,0,1360
play_greedily,7,5,4,0,1355
play_greedily,7,6,5,0,1445
play_greedily,7,7,6,0,1485
play_greedily,7,8,7,0,1475
