Treatment_Function,Replicate_Num,Step_Num,X_Location,Y_Location,Score,Last_Move,Rewards_rem
play_greedily,5,33,7,5,1235,F,18
play_greedily,5,34,6,5,1225,F,18
play_greedily,5,35,6,5,1220,R,18
play_greedily,5,36,6,4,1310,F,17
play_greedily,5,37,6,3,1300,F,17
play_greedily,5,38,6,2,1290,F,17
play_greedily,5,39,6,1,1380,F,16
play_greedily,5,40,6,1,1375,L,16
play_greedily,5,41,5,1,1415,F,15
play_greedily,5,42,4,1,1455,F,14
play_greedily,5,43,3,1,1445,F,14
play_greedily,5,44,2,1,1435,F,14
play_greedily,5,45,1,1,1425,F,14
play_greedily,5,46,1,1,1420,L,14
play_greedily,5,47,1,2,1460,F,13
play_greedily,5,48,1,3,1450,F,13
play_greedily,5,49,1,4,1540,F,12
play_greedily,5,50,1,5,1580,F,11
play_greedily,5,51,1,6,1620,F,10
play_greedily,5,52,1,6,1615,R,10
play_greedily,5,53,0,6,1605,F,10
play_greedily,5,54,0,6,1600,R,10
play_greedily,5,55,0,6,1595,R,10
play_greedily,5,56,1,6,1585,F,10
play_greedily,5,57,1,6,1580,L,10
play_greedily,5,58,1,5,1570,F,10
play_greedily,5,59,1,5,1565,R,10
play_greedily,5,60,2,5,1605,F,9
play_greedily,5,61,2,5,1600,L,9
play_greedily,5,62,2,4,1640,F,8
play_greedily,5,63,2,3,1630,F,8
play_greedily,5,64,2,2,1620,F,8
play_greedily,5,65,2,1,1610,F,8
play_greedily,5,66,2,1,1605,R,8
play_greedily,5,67,3,1,1595,F,8
play_greedily,5,68,4,1,1585,F,8
play_greedily,5,69,5,1,1575,F,8
play_greedily,5,70,5,1,1570,R,8
play_greedily,5,71,5,2,1610,F,7
play_greedily,5,72,5,3,1600,F,7
play_greedily,5,73,5,3,1595,R,7
play_greedily,5,74,4,3,1585,F,7
play_greedily,5,75,3,3,1575,F,7
play_greedily,5,76,2,3,1565,F,7
play_greedily,5,77,1,3,1555,F,7
play_greedily,5,78,0,3,1595,F,6
play_greedily,5,79,0,3,1590,R,6
play_greedily,5,80,0,3,1585,R,6
play_greedily,5,81,1,3,1575,F,6
play_greedily,5,82,2,3,1565,F,6
play_greedily,5,83,3,3,1555,F,6
play_greedily,5,84,4,3,1545,F,6
play_greedily,5,85,5,3,1535,F,6
play_greedily,5,86,6,3,1525,F,6
play_greedily,5,87,6,3,1520,L,6
play_greedily,5,88,6,2,1510,F,6
play_greedily,5,89,6,1,1500,F,6
play_greedily,5,90,6,0,1490,F,6
play_greedily,5,91,6,0,1485,R,6
play_greedily,5,92,6,0,1480,R,6
play_greedily,5,93,6,1,1470,F,6
play_greedily,5,94,6,2,1460,F,6
play_greedily,5,95,6,3,1450,F,6
play_greedily,5,96,6,4,1440,F,6
play_greedily,5,97,6,5,1430,F,6
play_greedily,5,98,6,6,1420,F,6
play_greedily,5,99,6,7,1410,F,6
play_greedily,5,100,6,8,1400,F,6
play_greedily,6,1,4,3,1040,F,26
play_greedily,6,2,4,3,1035,L,26
play_greedily,6,3,3,3,1075,F,25
play_greedily,6,4,2,3,1115,F,24
play_greedily,6,5,1,3,1155,F,23
play_greedily,6,6,0,3,1245,F,22
play_greedily,6,7,0,3,1240,R,22
play_greedily,6,8,0,3,1235,R,22
play_greedily,6,9,1,3,1225,F,22
play_greedily,6,10,2,3,1215,F,22
play_greedily,6,11,2,3,1210,L,22
play_greedily,6,12,2,2,1250,F,21
play_greedily,6,13,2,1,1340,F,20
play_greedily,6,14,2,0,1330,F,20
play_greedily,6,15,2,0,1325,R,20
play_greedily,6,16,3,0,1315,F,20
play_greedily,6,17,4,0,1355,F,19
play_greedily,6,18,4,0,1350,R,19
play_greedily,6,19,4,0,1345,R,19
play_greedily,6,20,3,0,1335,F,19
play_greedily,6,21,2,0,1325,F,19
play_greedily,6,22,1,0,1315,F,19
play_greedily,6,23,0,0,1305,F,19
play_greedily,6,24,0,0,1300,R,19
play_greedily,6,25,0,0,1295,R,19
play_greedily,6,26,1,0,1285,F,19
play_greedily,6,27,2,0,1275,F,19
play_greedily,6,28,3,0,1265,F,19
play_greedily,6,29,4,0,1255,F,19
play_greedily,6,30,4,0,1250,R,19
play_greedily,6,31,4,0,1245,R,19
play_greedily,6,32,3,0,1235,F,19
play_greedily,6,33,2,0,1225,F,19
play_greedily,6,34,1,0,1215,F,19
play_greedily,6,35,0,0,1205,F,19
play_greedily,6,36,0,0,1200,R,19
play_greedily,6,37,0,0,1195,R,19
play_greedily,6,38,1,0,1185,F,19
play_greedily,6,39,2,0,1175,F,19
play_greedily,6,40,3,0,1165,F,19
play_greedily,6,41,4,0,1155,F,19
play_greedily,6,42,4,0,1150,R,19
play_greedily,6,43,4,0,1145,R,19
play_greedily,6,44,3,0,1135,F,19
play_greedily,6,45,2,0,1125,F,19
play_greedily,6,46,1,0,1115,F,19
play_greedily,6,47,0,0,1105,F,19
play_greedily,6,48,0,0,1100,R,19
